run_label,sae_release,sae_id,feature_id,feature_name,max_activation,threshold,threshold_strategy,train_token_count_filtered,test_token_count_filtered,train_activation_mean,train_activation_std,train_activation_p95,train_activation_p99,test_activation_mean,test_activation_std,test_activation_p95,test_activation_p99,train_positive_count_filtered,test_positive_count_filtered,train_positive_fraction_filtered,test_positive_fraction_filtered,activating_examples_count,probe_a_auc_filtered,probe_b_auc_filtered,probe_c_auc_filtered,probe_a_auc_unfiltered,probe_b_auc_unfiltered,probe_c_auc_unfiltered,train_positive_fraction_unfiltered,test_positive_fraction_unfiltered,train_token_count_unfiltered,test_token_count_unfiltered,balanced_train_size_filtered,balanced_train_size_unfiltered,notes
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,100,Feature 100,26.78125,2.678125,dynamic_0.1_max,2413143,587141,2.0989599227905273,3.262073040008545,8.9765625,12.796875,2.027574300765991,3.2055399417877197,8.796875,12.6875,786312,186338,0.3258455880981774,0.3173649940985215,15,0.8643585104366454,0.8943978674868397,0.8653520725975584,0.8643585104366454,0.8943978674868397,0.8653520725975584,0.3258455880981774,0.3173649940985215,2413143,587141,1572624,1572624,unfiltered_not_run_no_padding
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,101,Feature 101,10.4140625,1.04140625,dynamic_0.1_max,2413143,587141,0.053368523716926575,0.4174192249774933,0.0,2.701171875,0.05176398530602455,0.4101004898548126,0.0,2.662109375,41912,9934,0.017368220615189403,0.016919274927146972,15,0.9044318216828408,0.927774775297573,0.9052074293570025,0.9044318216828408,0.927774775297573,0.9052074293570025,0.017368220615189403,0.016919274927146972,2413143,587141,83824,83824,unfiltered_not_run_no_padding
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,102,Feature 102,21.65625,2.165625,dynamic_0.1_max,2413143,587141,1.0051156282424927,2.1743130683898926,5.9453125,9.234375,0.9954938292503357,2.1562342643737793,5.8828125,9.140625,503692,122034,0.2087286165801198,0.20784445303598284,15,0.8978172735582015,0.9217108536001692,0.9003738164216968,0.8978172735582015,0.9217108536001692,0.9003738164216968,0.2087286165801198,0.20784445303598284,2413143,587141,1007384,1007384,unfiltered_not_run_no_padding
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,103,Feature 103,19.71875,1.971875,dynamic_0.1_max,2413143,587141,0.1545899361371994,0.9389341473579407,0.0,3.85546875,0.16307111084461212,0.9594780206680298,0.0,3.90625,102326,26295,0.04240362050653442,0.04478481318797359,15,0.8975062138507014,0.9118983890916643,0.8966230236779915,0.8975062138507014,0.9118983890916643,0.8966230236779915,0.04240362050653442,0.04478481318797359,2413143,587141,204652,204652,unfiltered_not_run_no_padding
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,104,Feature 104,25.53125,2.553125,dynamic_0.1_max,2413143,587141,0.40861907601356506,1.611981749534607,3.44140625,6.91015625,0.40923604369163513,1.6134408712387085,3.43359375,6.89453125,178348,43465,0.07390693382033307,0.07402821468778369,15,0.8936560360902791,0.9220496409000446,0.8939093880464449,0.8936560360902791,0.9220496409000446,0.8939093880464449,0.07390693382033307,0.07402821468778369,2413143,587141,356696,356696,unfiltered_not_run_no_padding
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,105,Feature 105,31.359375,3.1359375000000003,dynamic_0.1_max,2413143,587141,1.0019192695617676,2.612650156021118,7.02734375,12.125,0.9598624110221863,2.5552635192871094,6.83984375,11.9375,321024,75107,0.13303148632302353,0.12791986933292004,15,0.9175750686426131,0.9424683770669087,0.9189803386981928,0.9175750686426131,0.9424683770669087,0.9189803386981928,0.13303148632302353,0.12791986933292004,2413143,587141,642048,642048,unfiltered_not_run_no_padding
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,106,Feature 106,12.46875,1.2468750000000002,dynamic_0.1_max,2413143,587141,0.21648579835891724,0.8505145907402039,2.45703125,4.2578125,0.21957175433635712,0.8574101328849792,2.47265625,4.2734375,161599,39860,0.06696619305196584,0.06788829259070649,15,0.8213818132925536,0.8567534705414401,0.8199288210771938,0.8213818132925536,0.8567534705414401,0.8199288210771938,0.06696619305196584,0.06788829259070649,2413143,587141,323198,323198,unfiltered_not_run_no_padding
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,107,Feature 107,31.015625,3.1015625,dynamic_0.1_max,2413143,587141,2.7912843227386475,3.72699236869812,10.328125,14.1875,2.7523884773254395,3.6894028186798096,10.21875,14.015625,911533,219742,0.3777368353222333,0.37425763147182706,15,0.8124266046625135,0.8647633242442823,0.8142214369002525,0.8124266046625135,0.8647633242442823,0.8142214369002525,0.3777368353222333,0.37425763147182706,2413143,587141,1823066,1823066,unfiltered_not_run_no_padding
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,108,Feature 108,38.3125,3.8312500000000003,dynamic_0.1_max,2413143,587141,0.9471232295036316,2.0733163356781006,5.66015625,8.71875,0.9886691570281982,2.118664264678955,5.77734375,8.8515625,267456,67944,0.11083305050716016,0.11572007405376221,15,0.8865728961750385,0.9102973046177212,0.8886367507665092,0.8865728961750385,0.9102973046177212,0.8886367507665092,0.11083305050716016,0.11572007405376221,2413143,587141,534912,534912,unfiltered_not_run_no_padding
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,109,Feature 109,46.21875,4.621875,dynamic_0.1_max,2413143,587141,0.8208219408988953,2.1044657230377197,5.6875,9.5703125,0.8077147603034973,2.088013172149658,5.6484375,9.5234375,175638,42055,0.07278391707412284,0.07162674723788665,15,0.9283823503822278,0.9493000995791161,0.9285007254620129,0.9283823503822278,0.9493000995791161,0.9285007254620129,0.07278391707412284,0.07162674723788665,2413143,587141,351276,351276,unfiltered_not_run_no_padding
